,PMID,Observational_study_characteristics
19281,25480411,retrospective studies
19282,25480411,retrospective
19283,25480411,prospective
19285,25888210,retrospective studies
19286,25888210,retrospective
19298,25940130,case-control studies
19299,25940130,case-control
19301,26222232,retrospective studies
19302,26222232,retrospective
19303,25584718,cross-sectional studies
19304,25584718,retrospective
19305,25584718,cross-sectional
19308,24815998,case-control studies
19309,24815998,case-control
19310,24517461,case-control studies
19311,24517461,case-control
19312,26444724,case-control
19314,24833450,prospective studies
19315,24833450,prospective
19317,24582992,case-control studies
19318,24582992,retrospective studies
19319,24582992,case-control
19320,24582992,retrospective
19321,24409943,prospective studies
19322,24409943,prospective
19323,26244413,retrospective studies
19324,26244413,cross-sectional studies
19325,26244413,retrospective
19326,26244413,cross-sectional
19327,25286078,case-control studies
19328,25286078,case-control
19329,24941434,cohort studies
19330,24941434,cohort
19333,24823620,follow-up studies
19336,25854833,case-control studies
19337,25854833,case-control
19339,24505195,retrospective studies
19340,24505195,follow-up studies
19341,24505195,retrospective
19342,24699707,retrospective studies
19343,24699707,retrospective
19346,25238202,cross-sectional studies
19347,25238202,cross-sectional
19348,25879041,retrospective
19349,25879041,cohort
19352,24398487,retrospective studies
19353,24398487,retrospective
19356,26545461,retrospective studies
19357,26545461,retrospective
19362,24970896,prospective studies
19363,24970896,prospective
19366,25673253,prospective studies
19367,25673253,prospective
19368,25670394,cohort studies
19369,25670394,cohort
19375,25987053,retrospective studies
19376,25987053,follow-up studies
19377,25987053,retrospective
19378,25687157,case-control studies
19379,25687157,case-control
19381,25361748,retrospective studies
19382,25361748,retrospective
19383,24582590,case-control studies
19384,24582590,case-control
19386,24178400,retrospective studies
19387,24178400,follow-up studies
19388,24178400,retrospective
19392,25469505,case-control studies
19393,25469505,retrospective studies
19394,25469505,case-control
19395,25469505,retrospective
19398,24502333,retrospective studies
19399,24502333,follow-up studies
19400,24502333,retrospective
19401,25244551,retrospective studies
19402,25244551,retrospective
19405,25581953,retrospective studies
19406,25581953,retrospective
19408,25871842,case-control studies
19409,25871842,case-control
19413,26414885,retrospective studies
19414,26414885,retrospective
19415,26257221,retrospective studies
19416,26257221,follow-up studies
19417,26257221,retrospective
19418,25596774,retrospective studies
19419,25596774,retrospective
19420,25596774,prospective
19421,26059675,retrospective studies
19422,26059675,retrospective
19427,25400133,cross-sectional studies
19428,25400133,cross-sectional
19433,24728164,case-control studies
19434,24728164,retrospective studies
19435,24728164,case-control
19436,24728164,retrospective
19437,25880730,case-control studies
19438,25880730,case-control
19440,24490999,cross-sectional studies
19441,24490999,cross-sectional
19443,25135760,case-control studies
19444,25135760,case-control
19445,24776622,retrospective studies
19446,24776622,retrospective
19447,24706350,retrospective studies
19448,24706350,retrospective
19451,25198394,retrospective studies
19452,25198394,retrospective
19455,25052965,follow-up studies
19456,25052965,cross-sectional studies
19457,25052965,cross-sectional
19460,26451909,cross-sectional studies
19461,26451909,cross-sectional
19462,26558364,retrospective studies
19463,26558364,retrospective
19465,24646814,case-control studies
19466,24646814,case-control
19467,26036890,cohort studies
19468,26036890,cohort
19469,24767222,retrospective studies
19470,24767222,retrospective
19473,25543543,case-control studies
19474,25543543,case-control
19478,24867136,retrospective studies
19479,24867136,retrospective
19480,24867136,cohort
19484,25998940,prospective studies
19485,25998940,cross-sectional studies
19486,25998940,prospective
19487,25998940,cross-sectional
19490,25894310,case-control studies
19491,25894310,case-control
19496,26574688,case-control studies
19497,26574688,longitudinal studies
19498,26574688,case-control
19499,26574688,longitudinal
19501,26421665,follow-up studies
19503,25679415,case-control studies
19504,25679415,prospective studies
19505,25679415,case-control
19506,25679415,prospective
19508,25546977,prospective studies
19509,25546977,prospective
19521,24372054,case-control studies
19522,24372054,prospective studies
19523,24372054,case-control
19524,24372054,prospective
19527,25226272,case-control studies
19528,25226272,case-control
19529,25058606,prospective studies
19530,25058606,prospective
19531,25692426,retrospective studies
19532,25692426,retrospective
19534,25382005,retrospective studies
19535,25382005,retrospective
19536,25382005,cohort
19537,24670080,retrospective studies
19538,24670080,retrospective
19539,26240504,retrospective studies
19540,26240504,follow-up studies
19541,26240504,retrospective
19542,24657976,retrospective studies
19543,24657976,follow-up studies
19544,24657976,retrospective
19546,25766047,follow-up studies
19548,25028161,case-control studies
19549,25028161,case-control
19555,25892161,retrospective studies
19556,25892161,follow-up studies
19557,25892161,retrospective
19558,25892161,cohort
19559,25068172,retrospective
19560,24767223,prospective studies
19561,24767223,cross-sectional studies
19562,24767223,prospective
19563,24767223,cross-sectional
19564,24472020,retrospective studies
19565,24472020,follow-up studies
19566,24472020,retrospective
19567,24472020,cohort
19572,24586183,cohort
19573,25576458,prospective studies
19574,25576458,prospective
19575,24486115,follow-up studies
19576,24444387,case-control studies
19577,24444387,case-control
19578,24325626,case-control studies
19579,24325626,retrospective studies
19580,24325626,case-control
19581,24325626,retrospective
19582,26321629,retrospective studies
19583,26321629,retrospective
19584,26321629,cross-sectional
19586,25612339,cohort
19587,24801484,retrospective studies
19588,24801484,prospective studies
19589,24801484,retrospective
19590,24801484,prospective
19593,25770161,case-control studies
19594,25770161,case-control
19598,26117640,retrospective studies
19599,26117640,follow-up studies
19600,26117640,prospective studies
19601,26117640,retrospective
19602,26117640,cohort
19603,26117640,prospective
19605,25404437,cross-sectional studies
19606,25404437,cross-sectional
19607,25759125,case-control studies
19608,25759125,case-control
19611,24417307,retrospective studies
19612,24417307,follow-up studies
19613,24417307,retrospective
19616,25151553,retrospective studies
19617,25151553,retrospective
19620,25585304,retrospective studies
19621,25585304,cohort studies
19622,25585304,retrospective
19623,25585304,cohort
19624,25585304,prospective
19625,25212835,follow-up studies
19626,25212835,prospective studies
19627,25212835,prospective
19628,24989709,follow-up studies
19629,24492732,retrospective studies
19630,24492732,retrospective
19632,25487694,retrospective
19633,25487694,prospective
19634,25308952,prospective studies
19635,25308952,prospective
19637,25290043,cohort studies
19638,25290043,cohort
19639,25448997,retrospective studies
19640,25448997,retrospective
19642,25345847,cohort
19643,25345284,prospective studies
19644,25345284,prospective
19645,25219746,follow-up studies
19648,24517152,retrospective studies
19649,24517152,retrospective
19650,24517152,cross-sectional
19651,26121457,prospective studies
19652,26121457,prospective
19654,24802963,case-control studies
19655,24802963,case-control
19657,24503568,prospective studies
19658,24503568,prospective
19660,24166025,retrospective studies
19661,24166025,retrospective
19663,25257150,retrospective studies
19664,25257150,retrospective
19666,24770822,retrospective studies
19667,24770822,retrospective
19671,25836060,retrospective studies
19672,25836060,retrospective
19674,26204202,prospective
19676,25468954,prospective studies
19677,25468954,prospective
19680,24938857,retrospective studies
19681,24938857,retrospective
19682,26218874,follow-up studies
19686,25030316,retrospective studies
19687,25030316,retrospective
19688,25030316,cross-sectional
19690,26046966,prospective
19692,25819223,retrospective studies
19693,25819223,retrospective
19694,24697978,retrospective studies
19695,24697978,retrospective
19696,25695893,prospective studies
19697,25695893,prospective
19700,24829185,cohort
19701,24829185,prospective
19702,24559275,cohort
19707,24903731,retrospective studies
19708,24903731,cross-sectional studies
19709,24903731,retrospective
19710,24903731,cross-sectional
19713,25605285,prospective studies
19714,25605285,prospective
19715,25046415,case-control studies
19716,25046415,case-control
19719,26221854,follow-up studies
19722,24519110,case-control studies
19723,24519110,case-control
19728,25109914,prospective
19729,24938636,follow-up studies
19730,24938636,prospective studies
19731,24938636,prospective
19735,26202828,retrospective studies
19736,26202828,retrospective
19740,25039242,follow-up studies
19741,25627049,retrospective studies
19742,25627049,follow-up studies
19743,25627049,retrospective
19746,26222916,retrospective studies
19747,26222916,retrospective
19748,24862674,prospective studies
19749,24862674,prospective
19750,25839128,case-control studies
19751,25839128,case-control
19753,25675164,cohort
19754,25207388,retrospective studies
19755,25207388,retrospective
19757,25982257,cohort studies
19758,25982257,cohort
19760,25984670,retrospective studies
19761,25984670,retrospective
19762,25984670,cohort
19763,25373929,case-control studies
19764,25373929,prospective studies
19765,25373929,case-control
19766,25373929,prospective
19770,25843331,prospective studies
19771,25843331,prospective
19774,25351654,follow-up studies
19775,26696574,retrospective studies
19776,26696574,retrospective
19777,24668239,retrospective studies
19778,24668239,retrospective
19779,24412123,retrospective studies
19780,24412123,retrospective
19782,25033065,retrospective studies
19783,25033065,retrospective
19784,25033065,prospective
19786,25283079,retrospective studies
19787,25283079,retrospective
19788,26163757,case-control studies
19789,26163757,case-control
19790,24793198,retrospective studies
19791,24793198,follow-up studies
19792,24793198,retrospective
19795,25615025,case-control studies
